Category Number,Category,Sub Category,Name,What,Special Dietary Requirements 1,Special Dietary Requirements 2,Special Dietary Requirements 3,Who,Suburb,Enter Via,Contact Person,Phone,Phone 2,Freecall,Email,Website,Alternate Website,Social Media,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Public Holidays,Access,Cost,Tram routes,Nearest train station,Bus routes,Car parking,Bicycle parking,Walking,Address 1,Address 2,Latitude,Longitude,Geocoded Location
9,Free and cheap meals,Breakfast / lunch,Sacred Heart Mission ,Breakfast and lunch,,,,"Open to everyone, particularly people who are homeless, socially disadvantaged and isolated",St Kilda,,,(03) 9537 1166 ,,,nfo@sacredheartmission.org,http://www.sacredheartmission.org/Page.aspx?ID=61,,,"Breakfast: 8.30am -10.30am, Lunch: 11.45am - 1.15pm","Breakfast: 8.30am -10.30am, Lunch: 11.45am - 1.15pm","Breakfast: 8.30am -10.30am, Lunch: 11.45am - 1.15pm","Breakfast: 8.30am -10.30am, Lunch: 11.45am - 1.15pm","Breakfast: 8.30am -10.30am, Lunch: 11.45am - 1.15pm","Breakfast: 9.00am -10.30am, Lunch: 11.45am - 1.15pm","Breakfast: 9.00am -10.30am, Lunch: 11.45am - 1.15pm",Open,,Free,"16, 96",,,,,,,87 Grey Street,-37.863011,144.97978699999999,"(-37.863011, 144.97978699999999)"
9,Free and cheap meals,Lunch,"Kensington Neighbourhood House, Social Lunch and Bingo",Two-course meal and bingo in the company of a friendly social group.,,,,Older adults,Kensington,,,(03) 9376 6366,,,info@kenhouse.org.au,http://www.kensingtonneighbourhoodhouse.com,,,Closed,Closed,12.30pm - 2.30pm,Closed,Closed,Closed,Closed,,Bookings are essential,$8,57,Kensington,,All day parking is located on McCracken Street in front of the House. Two hour parking can be found on surrounding streets,,,,89 McCracken Street,-37.793242999999997,144.92800500000001,"(-37.793242999999997, 144.92800500000001)"
9,Free and cheap meals,Dinner,St Silas Sunday Suppers,Two course dinner,,,,Open to everyone,Albert Park,,,(03) 9696 5116,,,,,,,Closed,Closed,Closed,Closed,Closed,Closed,5.00pm,,,Free,,,,,,,St Silas Church Hall,99 Bridport Street,-37.840341000000002,144.95743200000001,"(-37.840341000000002, 144.95743200000001)"
9,Free and cheap meals,On Street Service,Matthew Talbot Fitzroy Soup Van,"Sandwiches, sausage rolls, meat pies, pasties, tea/coffee and cordial",,,,Open to everyone,North Melbourne,,,(03) 9895 5800,,,info@sudp.vic.gov.au,,,,7.15pm - 7.30pm,7.15pm - 7.30pm,7.15pm - 7.30pm,7.15pm - 7.30pm,7.15pm - 7.30pm,7.15pm - 7.30pm,7.15pm - 7.30pm,Open,Times are approximate,Free,,,,,,,North Melbourne Oval,Boundary Road,-37.792554000000003,144.939393,"(-37.792554000000003, 144.939393)"
9,Free and cheap meals,On Street Service,Open Family Chatterbox Bus ,"Outreach service, offer food and tea/coffee",,,,Disadvantaged young people 12-25 years,Melbourne,,,1300 669 600 ,,,info@openfamily.com.au,,,,Closed,9.00pm - 10.00pm,9.00pm - 10.00pm,9.00pm - 10.00pm,9.00pm - 10.00pm,9.00pm - 10.00pm,Closed,,,Free,,,,,,,St Paul’s Cathedral,Corner Flinders and Swanston Street,-37.805021000000004,144.96325999999999,"(-37.805021000000004, 144.96325999999999)"
9,Free and cheap meals,Lunch,The Flemington and Kensington Community Lunch,Lunch,,,,Open to everyone,Flemington,,,,,,,,,,12.00pm - 1.00pm,Closed,Closed,Closed,Closed,Closed,Closed,,,Free,57,Newmarket,,,,,St Brendan's Parish Hall,Corner of Church and High Streets,-37.784176000000002,144.931927,"(-37.784176000000002, 144.931927)"
9,Free and cheap meals,Dinner,Gourmet Women,Dinner with transport pick up available from St Kilda Town Hall at 5pm,,,,Women with a mental illness,Port Melbourne,,,(03) 9654 1476,,,,,,,Closed,5.00pm,Closed,Closed,Closed,Closed,Closed,,1st Tuesday of the month. Bookings are essential,$10,,,,,,,Port Melbourne Neighbourhood House,Corner of Nott and Lairdett Streets,-37.836925999999998,144.94454999999999,"(-37.836925999999998, 144.94454999999999)"
9,Free and cheap meals,On Street Service,Collingwood Soup Van,,,,,Open to everyone,Collingwood,,"Doug Walsh, Soup Van President",0400 432 009,,,volunteer@svdp-vic.org.au,,,,Closed,7.30pm,Closed,7.30pm,Dinner: 7.30pm,Closed,7.30pm,,BBQ dinner on Friday nights,Free,,,,,,,,Corner of Smith and Stanley Streets,-37.801997,144.983778,"(-37.801997, 144.983778)"
9,Free and cheap meals,On Street Service,Matthew Talbot Fitzroy Soup Van,"Sandwiches, sausage rolls, meat pies, pasties, tea/coffee and cordial",,,,Open to everyone,East Melbourne,,,(03) 9895 5802,,,info@sudp.vic.gov.au,,,,8.15pm - 8.30pm,8.15pm - 8.30pm,8.15pm - 8.30pm,8.15pm - 8.30pm,8.15pm - 8.30pm,8.15pm - 8.30pm,8.15pm - 8.30pm,Open,Times are approximate,Free,,,,,,,Fitzroy Gardens,Lansdowne Street,-37.812134999999998,144.977992,"(-37.812134999999998, 144.977992)"
9,Free and cheap meals,Lunch,Open Table ,"Open Table is a not-for-profit food redistribution project that uses surplus food to create wholesome community feasts every month, bringing together people from all walks of life. ",Vegetarian,,,Open to everyone,Fitzroy,,,,,,hello@open-table.org,http://www.open-table.org,,http://www.facebook.com/opntbl,Closed,Closed,Closed,Closed,Closed,Closed,12.00pm - 2.00pm,,3rd Sunday of the month,Free,,,,,,,Fitzroy Community Kitchen in Atherton Gardens,Napier Street,-37.802652999999999,144.97984199999999,"(-37.802652999999999, 144.97984199999999)"
9,Free and cheap meals,On Street Service,Matthew Talbot Fitzroy Soup Van,"Sandwiches, sausage rolls, meat pies, pasties, tea/coffee and cordial",,,,Open to everyone,Melbourne,,,(03) 9895 5805,,,info@sudp.vic.gov.au,,,,9.45pm - 10.00pm ,9.45pm - 10.00pm ,9.45pm - 10.00pm ,9.45pm - 10.00pm ,9.45pm - 10.00pm ,9.45pm - 10.00pm ,9.45pm - 10.00pm ,Open,Times are approximate,,,,,,,,Queen Victoria Market Car Park,Peel and Franklin Streets,-37.808653999999997,144.95657700000001,"(-37.808653999999997, 144.95657700000001)"
9,Free and cheap meals,On Street Service,Recycled Food Network ,Recycled Food Network recycles leftover food from cafés around the central city and redistributes to those less fortunate.,,,,Open to everyone,Melbourne,,,,,,info@intentcity.org,http://rfn.intentcity.org/,,,5.00pm - 6.30pm,5.00pm - 6.30pm,5.00pm - 6.30pm,5.00pm - 6.30pm,5.00pm - 6.30pm,5.00pm - 6.30pm,5.00pm - 6.30pm,,,Free,,,,,,,City Square,Swanston Street,-37.802486999999999,144.96362999999999,"(-37.802486999999999, 144.96362999999999)"
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1300 022 247 ,,,,,,,,,,,,,"One meal a day, every day of the week. Program membership required. Show your membership card at participating Café's to get the offer",$2,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1301 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1302 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1303 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1304 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fresh Food Markets,Market,Prahran Market,,,,,Open to everyone,South Yarra,,,,,,,http://www.prahranmarket.com.au/,,,Closed,7.00am - 5.00pm,Closed,Open from 7am to 5pm,7.00am - 5.00pm,7.00am - 5.00pm,10.00am - 3.00pm,Closed,,Free entry,,,,,,,,163 Commercial Road,-37.846414000000003,144.99219299999999,"(-37.846414000000003, 144.99219299999999)"
10,Fresh Food Markets,Farmer's Market,Flemington Farmers’ Market,,,,,Open to everyone,Flemington,,,,,,,http://www.flemingtonfarmersmarket.com.au,,,Closed,Closed,Closed,Closed,Closed,Closed,9.00am - 1.00pm,,,Free entry,,,,,,,Mt Alexander Secondary College,169-175 Mt Alexander Road,-37.782457999999998,144.93305699999999,"(-37.782457999999998, 144.93305699999999)"
10,Fresh Food Markets,Farmer's Market,Collingwood Children’s Farm Farmers’ Market,,,,,Open to everyone,Abbotsford,,,,,,,http://www.mfm.com.au/markets/collingwood-childrens-farm,,,Closed,Closed,Closed,Closed,Closed,8.00am - 1.00pm,Closed,,Open 2nd Saturday of the month,"$2.00 donation per adult, children are free to enter",,,200 and 2007 (stop Clarke/Johnston Street (Abbotsford),"Car park: Rates: 0-30mins Free, 30min-1hr $1, 1-2hr $3, 2-3hr $4, 3-5hr $6, 5-12hr $8.",,,,18 St Heliers Street,-37.801636999999999,145.005019,"(-37.801636999999999, 145.005019)"
10,Fresh Food Markets,Farmer's Market,Gasworks Farmers’ Market,,,,,Open to everyone,Albert Park,,,,,,,http://www.mfm.com.au/markets/gasworks-arts-park,,,Closed,Closed,Closed,Closed,Closed,8.30am - 1.00pm,Closed,,Open every 3rd Saturday of the month,Free entry,Route 1 (stop 31 – Graham Street/Victoria Ave),,,,,,Gasworks Arts Park,21 Graham Street,-37.843696999999999,144.94653099999999,"(-37.843696999999999, 144.94653099999999)"
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1305 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fresh Food Markets,Farmer's Market,Fitzroy Street Farmers’ Market,,,,,Open to everyone,St Kilda,,,,,,,http://www.vicfarmersmarkets.org.au/market/fitzroy-st-farmers-market,,,Closed,Closed,Closed,Closed,Closed,8.30am - 1.00pm,Closed,,Open 4th Saturday of the month,Gold coin donation to enter,,,,,,,,80 Fitzroy Street ,-37.857962999999998,144.97952000000001,"(-37.857962999999998, 144.97952000000001)"
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1306 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1307 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1308 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1309 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1310 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1311 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,Café Meals Program,Café Meals - Homeless,"Subsidised meals for people experiencing homelessness. Members can get a meal to the value of $10 but only pay $2 towards the cost. You can choose breakfast, lunch or dinner.",,,,People living in the City of Melbourne who are homeless or sleeping rough and who have trouble cooking for themselves or buying healthy meals. Program membership is required.,,,Café Meals Program Worker,,,1312 022 247 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Free and cheap meals,On Street Service,Matthew Talbot Fitzroy Soup Van,"Sandwiches, sausage rolls, meat pies, pasties, tea/coffee and cordial",,,,Open to everyone,Fitzroy,,,(03) 9895 5801,,,info@sudp.vic.gov.au,,,,7.45pm - 8.00pm,7.45pm - 8.00pm,7.45pm - 8.00pm,7.45pm - 8.00pm,7.45pm - 8.00pm,7.45pm - 8.00pm,7.45pm - 8.00pm,Open,Times are approximate,Free,,,,,,,All Saints Church,174 Brunswick Street,-37.802249000000003,144.978013,"(-37.802249000000003, 144.978013)"
9,Free and cheap meals,On Street Service,Matthew Talbot Fitzroy Soup Van,"Sandwiches, sausage rolls, meat pies, pasties, tea/coffee and cordial",,,,Open to everyone,Melbourne,,,(03) 9895 5803,,,info@sudp.vic.gov.au,,,,8.45pm - 9.00pm,8.45pm - 9.00pm,8.45pm - 9.00pm,8.45pm - 9.00pm,8.45pm - 9.00pm,8.45pm - 9.00pm,8.45pm - 9.00pm,Open,Times are approximate,Free,,,,,,,Flinders Street Station,Corner Flinders and Swanston Street,-37.976962999999998,145.066385,"(-37.976962999999998, 145.066385)"
9,Free and cheap meals,On Street Service,Rosie’s Bus ,"Tea and coffee, biscuits, milo and cordial",,,,Open to everyone,Melbourne,,,,,,,,,,Closed,Closed,8.30pm - 10.30pm,Closed,8.30pm - 10.30pm,Closed,Closed,,,Free,,,,,,,Flinders Street Station (steps),Corner Flinders and Swanston Street,-37.976962999999998,145.066385,"(-37.976962999999998, 145.066385)"
9,Free and cheap meals,Lunch,University of Melbourne Food Co-op ,"Organic, vegan and gluten free hot lunches in a diverse range of dishes including sweets and a range of tea.  ",Vegetarian,Vegan,Gluten Free,"Open to everyone, not just students. You don’t have to be a member or a volunteer to eat at the Melbourne University Food Co-op, however membership entitles you to 10% on everything. On top of that, volunteering 2 hours per week gets you a free meal and 20% off everything.",Parkville,,,(03) 9347 8716 ,,,yourfoodcoop@gmail.com,http://melbourneunifoodcoop.wordpress.com/,,http://www.facebook.com/yourfoodcoop,9.00am - 4.00pm ,9.00am - 4.00pm ,9.00am - 7.00pm ,9.00am - 4.00pm ,9.00am - 4.00pm ,Closed,Closed,Closed,,Between $5 and $8,19,,,,,,University of Melbourne,"1st Floor, Union House",-37.796731000000001,144.96150900000001,"(-37.796731000000001, 144.96150900000001)"
10,Fresh Food Markets,Market,South Melbourne Market,,,,,Open to everyone,South Melbourne,,,,,,,http://www.southmelbournemarket.com.au,,,Closed,Closed,8.00am - 4.00pm,Closed,8.00am - 5.00pm,8.00am - 4.00pm,8.00am - 4.00pm,,,Free entry,,,,,,,,322-326 Coventry Street,-37.832138,144.95557099999999,"(-37.832138, 144.95557099999999)"
10,Fresh Food Markets,Farmer's Market,The Veg Out St Kilda Farmers’ Market,,,,,Open to everyone,St Kilda,,,,,,,http://www.vegout.asn.au/farmersmarket.html,,,Closed,Closed,Closed,Closed,Closed,8.30am - 1.00pm,Closed,,Open 1st Saturday of the month,Free entry,,,,,,,Peanut Farm Reserve,Chaucer Street,-37.870350000000002,144.97949199999999,"(-37.870350000000002, 144.97949199999999)"
10,Fresh Food Markets,Market,Queen Victoria Market,,,,,,Melbourne,,,,,,,http://www.qvm.com.au,,,Closed,6.00am - 2.00pm,Closed,6.00am - 2.00pm,6.00am - 5.00pm,6.00am - 3.00pm,9.00am - 4.00pm,Closed,,Free entry,"Routes 57, 58 and 19. Or take the free City Circle tram. Get off at the corner of La Trobe and Elizabeth Streets. ","Within walking distance of Melbourne Central Station (Elizabeth Street exit, head north) and Flagstaff Station (north along William Street).",The Melbourne Visitor Shuttle goes to the Market for $5! Get off at stop 8.,Free parking is available with entry and exit between 6am to 10am Sunday to Friday and from 6am to 8am on Saturday.,There is free bike parking in and around the Market. Major bike lanes leading to the Market run along Royal Parade and Victoria Street.,,,Corner of Victoria and Elizabeth Streets,-37.806086000000001,144.95859200000001,"(-37.806086000000001, 144.95859200000001)"
10,Fresh Food Markets,Farmer's Market,Carlton Farmers’ Market,,,,,Open to everyone,Carlton,,,,,,,http://www.mfm.com.au/markets/carlton,,,Closed,Closed,Closed,Closed,Closed,8.00am - 1.00pm,Closed,,Open every 1st and 3rd Saturday of the month,Gold coin donation for entry,"Route 1 or 8- Stop 112 Elgin Street/Lygon Street, Route 1 or 8- Stop 113 Lytton Street/Lygon St",,"Route 250 or 251 - Stop 659 Pitt Street/Rathdowne Street, Route 250 or 251- Stop 349 Kay Street/Rathdowne Street","Street Parking Available on surrounding Palmerston, Drummond, Rathdowne and Lygon Streets ",,,Carlton Primary School,Corner Palmerston and Rathdowne Streets,-37.795910999999997,144.96925999999999,"(-37.795910999999997, 144.96925999999999)"
10,Fresh Food Markets,Farmer's Market,CERES Organic Market,,,,,Open to everyone,Thornbury,,,,,,,http://www.ceres.org.au,,,9.00am to 4.00pm,9.00am to 4.00pm,9.00am to 4.00pm,9.00am to 4.00pm,9.00am to 4.00pm,9.00am to 2.00pm,9.00am to 2.00pm,,,"There is no entry cost to CERES market, but you can make a gold coin donation if you wish.",,,,,,,,Corner Roberts and Stewart Streets,-37.765690999999997,144.98230799999999,"(-37.765690999999997, 144.98230799999999)"
10,Fresh Food Markets,Farmer's Market,Gleadell Street Fresh Food Market,,,,,Open to everyone,Richmond,,,,,,,http://www.yarracity.vic.gov.au/Events/Shopping-and-dining/markets/Gleadell-Street/,,,Closed,Closed,Closed,Closed,Closed,7.00am - 1.00pm,Closed,Closed on public holidays that fall on a Saturday,,Free entry,"48 (North Balwyn – Victoria Harbour, via Collins Street) or 75 (Vermont South – City, via Flinders Street) and disembark at Stop 19 – Richmond Town Hall. ",,,,,,,Gleadell Street,-37.818376000000001,145.00152800000001,"(-37.818376000000001, 145.00152800000001)"
10,Fresh Food Markets,Farmer's Market,Slow Food Farmers’ Market,,,,,Open to everyone,Abbotsford,,,,,,,http://www.mfm.com.au/markets/slow-food-melbourne,,,Closed,Closed,Closed,Closed,Closed,8.00am - 1.00pm,Closed,,Open every 4th Saturday of the month,"$2 donation per adult, free for children",,,200 and 2007 (stop Clarke/Johnston Street (Abbotsford),"Rates: 0-30mins Free, 30min-1hr $1, 1-2hr $3, 2-3hr $4, 3-5hr $6, 5-12hr $8.",,,Abbotsford Convent,St Heliers Street,-37.802926999999997,145.00522599999999,"(-37.802926999999997, 145.00522599999999)"
11,Nutrition Education and Support,Dietitian ,CoHealth Community Health Centre - Doutta Galla,"Nutrition and dietitian services to help users to develop self-management skills around food budgeting, purchasing, preparation and cooking. ",,,,People experiencing disadvantage in the City of Melbourne,Kensington,,,(03) 8378 1600 ,,,,,,,8.30am - 5.00pm,8.30am - 5.00pm,8.30am - 5.00pm,8.30am - 5.00pm,8.30am - 5.00pm,Closed,Closed,,,,,Kensington,402 Footscray to East Melbourne - Stops at Gower Street / Macaulay Road,,,,Doutta Galla,12 Gower Street,-37.795025000000003,144.92907400000001,"(-37.795025000000003, 144.92907400000001)"
11,Nutrition Education and Support,Dietitian ,CoHealth Community Health Centre - Central City,"Nutrition and dietitian services to help users to develop self-management skills around food budgeting, purchasing, preparation and cooking. ",,,,People experiencing disadvantage in the City of Melbourne,Melbourne ,,,(03) 9677 0800 ,,1300 022 247 ,,,,,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,Closed,Closed,,Book an appointment between 10am to 4pm Mon to Fri or drop in Fridays between 1pm and 4pm,Free,"59, 57",Melbourne Central ,,,,,Central City ,53 Victoria Street,-37.806517999999997,144.96121400000001,"(-37.806517999999997, 144.96121400000001)"
9,Free and cheap meals,Lunch,Credo Café,Lunch,,,,Open to everyone,Melbourne,Enter via Baptist Place (basement),,(03) 9650 4023,,,david.wilson@urbanseed.org,http://www.urbanseed.org.au,,,Closed,12.00pm - 1.00pm,12.00pm - 1.00pm,Closed,Closed,Closed,Closed,Closed,Visit as often as you would like. ,Free,,,,,,,Baptist Church,174 Collins Street,-37.814960999999997,144.967725,"(-37.814960999999997, 144.967725)"
9,Free and cheap meals,Breakfast / Lunch ,St Mary’s House of Welcome,"Breakfast, lunch",,,,Open to all adults aged over 18 years,Fitzroy,,,(03) 9417 6497 ,,,admin@smhow.org.au,http://www.smhow.org.au,,,"Breakfast: 8:45am - 9:15am, Lunch: 12:00pm - 12:30pm","Breakfast: 8:45am - 9.15am, Lunch: 12:00pm - 12:30pm","Breakfast: 8:45am - 9:15am,  Lunch: 12:00pm - 12:30pm","Breakfast: 8:45am - 9:15am, Lunch: 12:00pm - 12:30pm","Breakfast: 8:45am - 9:15am, Lunch: 12:00pm - 12:30pm","Breakfast: 8:45am - 9:15am,  Lunch: 12:00pm - 12:30pm",Closed,,,"Breakfast: Free or by donation,  Lunch: $2",112,,,,,,,165-169 Brunswick Street,-37.802492000000001,144.97746000000001,"(-37.802492000000001, 144.97746000000001)"
9,Free and Cheap Meals,On Street Service,Emerald Hill Mission Food Bus,Dinner,,,,Open to everyone,"St Kilda, South Melbourne and Southbank",,,,,,enquiries@emeraldhillmission.org.au,http://www.emeraldhillmission.org.au,,,6.00pm - 8.00pm,Closed,6.00pm - 8.00pm,6.00pm - 8.00pm ,6.00pm - 8.00pm,Closed,6.00pm - 8.00pm,,,Free,"16,96",,,,,,Gatwick Hotel,34 Fitzroy Street,-37.860505,144.975571,"(-37.860505, 144.975571)"
